ID,Title,Category,MITRE_ID,MITRE_Name,Severity,Confidence,Splunk,QRadar,Data_Source_Windows,Data_Source_Cloud,Rule_IDs,Pack
UC-015,WinRM / PowerShell Remoting,Lateral Movement,T1021.006,Remote Services: WinRM,High,78,Yes,Yes,Windows Security 4624 / PowerShell 4103 4104,,SP-300007,lateral_movement
UC-016,Pass-the-Hash / Pass-the-Ticket,Lateral Movement,T1550,Use Alternate Authentication Material,Critical,80,Yes,Yes,Windows Security 4624 4768 4769,,SP-300008 SP-300009,lateral_movement
UC-017,Office Macro Spawning Shell,Initial Access,T1566.001,Phishing: Spearphishing Attachment,High,90,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-100001 SP-100002,initial_access
UC-018,Encoded PowerShell Execution,Execution,T1059.001,Command and Scripting Interpreter: PowerShell,High,85,Yes,Yes,Windows Security 4688 / PowerShell 4104 / Sysmon 1,,SP-100003 SP-100004,execution
UC-019,certutil Download Cradle,Execution,T1105,Ingress Tool Transfer,High,91,Yes,Yes,Windows Security 4688 / Sysmon 1 3,,SP-100005,execution
UC-020,mshta / regsvr32 LOLBin Execution,Execution,T1218,System Binary Proxy Execution,High,87,Yes,Yes,Windows Security 4688 / Sysmon 1 3,,SP-100006 SP-100007,execution
UC-021,WMIC Process Create Remote,Execution,T1047,Windows Management Instrumentation,High,83,Yes,Yes,Windows Security 4688 / Sysmon 1,,SP-100008,execution
UC-022,Malicious Email Attachment Execution,Initial Access,T1566.001,Phishing: Spearphishing Attachment,High,79,Yes,Yes,Windows Security 4688 / Sysmon 1 11,Email logs,SP-100009,initial_access
UC-023,Registry Run Key Persistence,Persistence,T1547.001,Registry Run Keys / Startup Folder,Medium,75,Yes,Yes,Windows Security 4657 / Sysmon 13,,SP-400001,windows_sysmon
UC-024,WMI Event Subscription Persistence,Persistence,T1546.003,Event Triggered Execution: WMI,High,88,Yes,Yes,Sysmon 19 20 21,,SP-400003 SP-400004,windows_sysmon
UC-025,Scheduled Task Created by Script,Persistence,T1053.005,Scheduled Task/Job: Scheduled Task,Medium,70,Yes,Yes,Windows Security 4698 4702 / Sysmon 1,,SP-400005,windows_sysmon
UC-026,New Service Installation,Persistence,T1543.003,Create or Modify System Process: Windows Service,Medium,72,Yes,Yes,Windows System 7045 / Sysmon 13,,SP-400006,windows_sysmon
UC-027,C2 Beaconing - Periodic Outbound,C2,T1071,Application Layer Protocol,High,78,Yes,Yes,Sysmon 3 / Firewall logs,,SP-810001 SP-810002,correlation
UC-028,DNS Tunneling,C2,T1071.004,Application Layer Protocol: DNS,High,82,Yes,Yes,Sysmon 22 / DNS logs,,SP-810003 SP-810004,correlation
UC-029,Cobalt Strike Named Pipe,C2,T1090,Proxy,Critical,95,Yes,Yes,Sysmon 17 18,,SP-810005,correlation
UC-030,Known C2 Port Outbound,C2,T1571,Non-Standard Port,High,85,Yes,Yes,Sysmon 3 / Firewall logs,,SP-810006 SP-810007,correlation
UC-031,AWS Root Account Login,Identity/IAM,T1078.004,Valid Accounts: Cloud Accounts,Critical,99,Yes,Yes,,AWS CloudTrail,SP-500001,identity
UC-032,Privileged Account Login from New Location,Identity/IAM,T1078,Valid Accounts,High,78,Yes,Yes,Windows Security 4624,Okta / Entra ID,SP-500003 SP-500004,identity
UC-033,MFA Bypass / Impossible Travel,Identity/IAM,T1078,Valid Accounts (AiTM Phishing),Critical,85,Yes,Yes,,Okta System Log / Entra ID,SP-500005 SP-500006,identity
UC-034,Okta Admin Role Granted,Identity/IAM,T1098,Account Manipulation,High,90,Yes,Yes,,Okta System Log,SP-500007,identity
UC-035,Entra ID - Bulk User Deletion,Identity/IAM,T1531,Account Access Removal,Critical,88,Yes,Yes,,Entra ID Audit,SP-500008,identity
UC-036,AWS CloudTrail Disabled,Cloud,T1562.008,Impair Defenses: Disable Cloud Logs,Critical,98,Yes,Yes,,AWS CloudTrail,SP-600001,cloud
UC-037,S3 Bucket Public Access Granted,Cloud,T1530,Data from Cloud Storage,High,88,Yes,Yes,,AWS CloudTrail,SP-600002,cloud
UC-038,Azure - New Owner Role Assignment,Cloud,T1098.003,Account Manipulation: Additional Cloud Roles,High,85,Yes,Yes,,Azure Activity Log,SP-600003,cloud
UC-039,GCP - Service Account Key Created,Cloud,T1552.001,Unsecured Credentials: Credentials in Files,Medium,80,Yes,Yes,,GCP Cloud Audit,SP-600004,cloud
UC-040,Kubernetes - Privileged Pod Launched,Cloud/Container,T1610,Deploy Container,Critical,90,Yes,Yes,,Kubernetes Audit,SP-700001 SP-700002,container_kubernetes
UC-041,Linux - Crontab Persistence,Linux,T1053.003,Scheduled Task/Job: Cron,Medium,72,Yes,Yes,Linux auditd / Syslog,,SP-linux-001,linux
UC-042,Linux - SUID Binary Created,Linux,T1548.001,Abuse Elevation Control Mechanism: Setuid,High,82,Yes,Yes,Linux auditd,,SP-linux-003,linux
UC-043,macOS - LaunchAgent Persistence,macOS,T1543.001,Create or Modify System Process: Launch Agent,Medium,75,Yes,Yes,macOS Unified Log / ESF,,SP-macos-001,macos
UC-044,Email - Mass Internal Forwarding Rule,Email,T1114.003,Email Collection: Email Forwarding Rule,High,88,Yes,Yes,,Microsoft 365 Audit / Exchange,SP-email-001,email
UC-045,Database - Privileged Bulk Export,Database,T1005,Data from Local System,High,76,Yes,Yes,,DB Audit Log (pgaudit/MySQL/MSSQL),SP-database-001 SP-database-002,database
UC-046,Canary Document Accessed,Deception,T1083,File and Directory Discovery,Critical,99,Yes,Yes,Windows Security 4663 / File Server Audit,,SP-deception-001 SP-deception-002,deception
